,Date,SAR,AF
477,24-May-13,123.72872,0.02
478,25-May-13,,
479,26-May-13,,
480,27-May-13,,
481,28-May-13,,
482,29-May-13,,
483,30-May-13,,
484,31-May-13,,
485,1-Jun-13,,
486,2-Jun-13,,
487,3-Jun-13,,
488,4-Jun-13,,
489,5-Jun-13,121.9,0.02
490,6-Jun-13,121.876,0.04
491,7-Jun-13,121.76096000000001,0.06
492,8-Jun-13,121.1153024,0.08
493,9-Jun-13,120.058078208,0.1
494,10-Jun-13,118.0922703872,0.1
495,11-Jun-13,116.32304334848,0.1
496,12-Jun-13,114.730739013632,0.1
497,13-Jun-13,113.2976651122688,0.1
498,14-Jun-13,112.00789860104192,0.12000000000000001
499,15-Jun-13,110.56695076891688,0.14
500,16-Jun-13,109.05957766126852,0.14
501,17-Jun-13,107.76323678869093,0.14
502,18-Jun-13,106.6483836382742,0.14
503,19-Jun-13,105.68960992891581,0.14
504,20-Jun-13,104.8650645388676,0.14
505,21-Jun-13,,
506,22-Jun-13,,
507,23-Jun-13,,
508,24-Jun-13,102.1,0.02
509,25-Jun-13,102.24799999999999,0.02
510,26-Jun-13,102.39303999999998,0.02
511,27-Jun-13,,
512,28-Jun-13,,
513,29-Jun-13,,
514,30-Jun-13,97.5,0.02
515,1-Jul-13,97.444,0.04
516,2-Jul-13,96.93024,0.04
517,3-Jul-13,96.4370304,0.06
518,4-Jul-13,95.264808576,0.06
519,5-Jul-13,94.16292006143999,0.08
520,6-Jul-13,91.93388645652479,0.08
521,7-Jul-13,89.88317554000281,0.08
522,8-Jul-13,87.99652149680259,0.08
523,9-Jul-13,86.26079977705838,0.08
524,10-Jul-13,84.6639357948937,0.08
525,11-Jul-13,83.1948209313022,0.08
526,12-Jul-13,,
527,13-Jul-13,,
528,14-Jul-13,,
529,15-Jul-13,,
530,16-Jul-13,,
531,17-Jul-13,,
532,18-Jul-13,85.4,0.02
533,19-Jul-13,85.4,0.02
534,20-Jul-13,85.4,0.02
535,21-Jul-13,85.4,0.02
536,22-Jul-13,85.4,0.02
537,23-Jul-13,85.4,0.02
538,24-Jul-13,85.4,0.02
539,25-Jul-13,85.4,0.02
540,26-Jul-13,85.4,0.02
541,27-Jul-13,,
542,28-Jul-13,,
543,29-Jul-13,,
544,30-Jul-13,96.3,0.02
545,31-Jul-13,96.3,0.04
546,1-Aug-13,96.364,0.04
547,2-Aug-13,,
548,3-Aug-13,,
549,4-Aug-13,,
550,5-Aug-13,96.9,0.02
551,6-Aug-13,96.894,0.02
552,7-Aug-13,,
553,8-Aug-13,,
554,9-Aug-13,,
555,10-Aug-13,93.3,0.02
556,11-Aug-13,93.372,0.02
557,12-Aug-13,93.44256,0.02
558,13-Aug-13,93.5117088,0.04
559,14-Aug-13,93.687240448,0.06
560,15-Aug-13,93.94600602112,0.06
561,16-Aug-13,,
562,17-Aug-13,,
563,18-Aug-13,,
564,19-Aug-13,,
565,20-Aug-13,,
566,21-Aug-13,111.4,0.02
567,22-Aug-13,111.4,0.02
568,23-Aug-13,,
569,24-Aug-13,,
570,25-Aug-13,,
571,26-Aug-13,,
572,27-Aug-13,,
573,28-Aug-13,117.6,0.02
574,29-Aug-13,117.6,0.02
575,30-Aug-13,,
576,31-Aug-13,,
577,1-Sep-13,,
578,2-Sep-13,,
579,3-Sep-13,,
580,4-Sep-13,,
581,5-Sep-13,,
582,6-Sep-13,,
583,7-Sep-13,119.1,0.02
584,8-Sep-13,119.044,0.02
585,9-Sep-13,118.98912,0.02
586,10-Sep-13,118.9353376,0.02
587,11-Sep-13,118.88263084799999,0.02
588,12-Sep-13,118.83097823103999,0.02
589,13-Sep-13,118.78035866641919,0.02
590,14-Sep-13,,
591,15-Sep-13,,
592,16-Sep-13,,
593,17-Sep-13,126.0,0.02
594,18-Sep-13,126.0,0.04
595,19-Sep-13,,
596,20-Sep-13,,
597,21-Sep-13,,
598,22-Sep-13,122.7,0.02
599,23-Sep-13,122.69800000000001,0.04
600,24-Sep-13,122.67808000000001,0.04
601,25-Sep-13,122.65895680000001,0.04
602,26-Sep-13,122.64059852800001,0.04
603,27-Sep-13,122.62297458688,0.04
604,28-Sep-13,122.60605560340481,0.04
605,29-Sep-13,122.58981337926862,0.04
606,30-Sep-13,,
607,1-Oct-13,,
608,2-Oct-13,,
609,3-Oct-13,,
610,4-Oct-13,,
611,5-Oct-13,,
612,6-Oct-13,,
613,7-Oct-13,,
614,8-Oct-13,124.3,0.02
615,9-Oct-13,124.3,0.04
616,10-Oct-13,124.36,0.04
617,11-Oct-13,,
618,12-Oct-13,,
619,13-Oct-13,,
620,14-Oct-13,,
621,15-Oct-13,,
622,16-Oct-13,137.4,0.02
623,17-Oct-13,,
624,18-Oct-13,,
625,19-Oct-13,,
626,20-Oct-13,163.1,0.02
627,21-Oct-13,162.692,0.02
628,22-Oct-13,162.29216,0.02
629,23-Oct-13,161.90031679999998,0.02
630,24-Oct-13,,
631,25-Oct-13,,
632,26-Oct-13,,
633,27-Oct-13,185.7,0.02
634,28-Oct-13,185.7,0.04
635,29-Oct-13,185.78799999999998,0.06
636,30-Oct-13,,
637,31-Oct-13,,
638,1-Nov-13,,
639,2-Nov-13,,
640,3-Nov-13,,
641,4-Nov-13,225.2,0.02
642,5-Nov-13,225.2,0.04
643,6-Nov-13,225.76399999999998,0.06
644,7-Nov-13,227.44016,0.08
645,8-Nov-13,231.9089472,0.1
646,9-Nov-13,241.09805248,0.12000000000000001
647,10-Nov-13,252.49828618240002,0.12000000000000001
648,11-Nov-13,,
649,12-Nov-13,,
650,13-Nov-13,,
651,14-Nov-13,419.5,0.02
652,15-Nov-13,,
653,16-Nov-13,,
654,17-Nov-13,,
655,18-Nov-13,461.0,0.02
656,19-Nov-13,463.592,0.04
657,20-Nov-13,472.68431999999996,0.04
658,21-Nov-13,,
659,22-Nov-13,,
660,23-Nov-13,,
661,24-Nov-13,,
662,25-Nov-13,,
663,26-Nov-13,,
664,27-Nov-13,855.0,0.02
665,28-Nov-13,856.878,0.04
666,29-Nov-13,863.84688,0.06
667,30-Nov-13,879.4800672,0.06
668,1-Dec-13,894.175263168,0.06
669,2-Dec-13,,
670,3-Dec-13,,
671,4-Dec-13,,
672,5-Dec-13,,
673,6-Dec-13,,
674,7-Dec-13,,
675,8-Dec-13,682.2,0.02
676,9-Dec-13,692.556,0.02
677,10-Dec-13,702.70488,0.02
678,11-Dec-13,,
679,12-Dec-13,,
680,13-Dec-13,,
681,14-Dec-13,909.7,0.02
682,15-Dec-13,909.0840000000001,0.04
683,16-Dec-13,906.72064,0.06
684,17-Dec-13,894.2934016,0.08
685,18-Dec-13,874.261929472,0.1
686,19-Dec-13,827.7057365248,0.1
687,20-Dec-13,785.80516287232,0.1
688,21-Dec-13,748.094646585088,0.1
689,22-Dec-13,714.1551819265792,0.1
690,23-Dec-13,683.6096637339213,0.1
691,24-Dec-13,656.1186973605292,0.1
692,26-Dec-13,631.3768276244763,0.1
693,27-Dec-13,,
694,28-Dec-13,,
695,29-Dec-13,,
696,30-Dec-13,730.2,0.02
697,31-Dec-13,,
698,1-Jan-14,,
699,2-Jan-14,,
700,3-Jan-14,,
701,4-Jan-14,,
702,5-Jan-14,,
703,6-Jan-14,,
704,7-Jan-14,,
705,8-Jan-14,,
706,9-Jan-14,,
707,10-Jan-14,,
708,11-Jan-14,,
709,12-Jan-14,,
710,13-Jan-14,,
711,14-Jan-14,,
712,15-Jan-14,833.7,0.02
713,16-Jan-14,,
714,17-Jan-14,,
715,18-Jan-14,,
716,19-Jan-14,830.0,0.02
717,20-Jan-14,,
718,21-Jan-14,,
719,22-Jan-14,,
720,23-Jan-14,804.3,0.02
721,24-Jan-14,,
722,25-Jan-14,,
723,26-Jan-14,,
724,27-Jan-14,,
725,28-Jan-14,,
726,29-Jan-14,783.6,0.02
727,30-Jan-14,784.4060000000001,0.02
728,31-Jan-14,,
729,1-Feb-14,,
730,3-Feb-14,,
731,4-Feb-14,,
732,5-Feb-14,,
733,6-Feb-14,,
734,7-Feb-14,,
735,8-Feb-14,716.4,0.02
736,9-Feb-14,715.612,0.02
737,10-Feb-14,714.83976,0.04
738,11-Feb-14,711.9261696,0.04
739,12-Feb-14,709.129122816,0.04
740,13-Feb-14,706.44395790336,0.06
741,14-Feb-14,701.8573204291584,0.08
742,15-Feb-14,690.9247347948258,0.08
743,16-Feb-14,680.8667560112398,0.08
744,17-Feb-14,671.6134155303406,0.08
745,18-Feb-14,663.1003422879133,0.08
746,19-Feb-14,655.2683149048803,0.08
747,20-Feb-14,648.0628497124899,0.08
748,21-Feb-14,641.4338217354907,0.1
749,22-Feb-14,632.1404395619417,0.1
750,23-Feb-14,623.7763956057474,0.1
751,24-Feb-14,616.2487560451727,0.1
752,25-Feb-14,609.4738804406554,0.12000000000000001
753,26-Feb-14,587.3370147877768,0.12000000000000001
754,27-Feb-14,567.8565730132435,0.12000000000000001
755,28-Feb-14,550.7137842516543,0.12000000000000001
756,1-Mar-14,535.6281301414557,0.12000000000000001
757,2-Mar-14,522.352754524481,0.12000000000000001
758,3-Mar-14,510.6704239815433,0.12000000000000001
759,4-Mar-14,500.3899731037581,0.12000000000000001
760,5-Mar-14,491.3431763313071,0.12000000000000001
761,6-Mar-14,,
762,7-Mar-14,,
763,8-Mar-14,,
764,9-Mar-14,609.4,0.02
765,10-Mar-14,,
766,11-Mar-14,,
767,12-Mar-14,,
768,13-Mar-14,,
769,14-Mar-14,,
770,15-Mar-14,,
771,16-Mar-14,,
772,17-Mar-14,,
773,18-Mar-14,,
774,19-Mar-14,622.9,0.02
775,20-Mar-14,622.66,0.04
776,21-Mar-14,621.0935999999999,0.06
777,22-Mar-14,617.955984,0.08
778,23-Mar-14,612.51950528,0.08
779,24-Mar-14,607.5179448576,0.08
780,25-Mar-14,602.9165092689921,0.08
781,26-Mar-14,598.6831885274727,0.08
782,27-Mar-14,,
783,28-Mar-14,,
784,29-Mar-14,,
785,30-Mar-14,440.4,0.02
786,31-Mar-14,443.378,0.02
787,1-Apr-14,446.29643999999996,0.02
788,2-Apr-14,,
789,3-Apr-14,,
790,4-Apr-14,,
791,5-Apr-14,,
792,6-Apr-14,,
793,7-Apr-14,,
794,8-Apr-14,,
795,9-Apr-14,,
796,10-Apr-14,440.2,0.02
797,11-Apr-14,438.796,0.04
798,12-Apr-14,434.24415999999997,0.04
799,13-Apr-14,429.87439359999996,0.04
800,14-Apr-14,425.679417856,0.04
801,15-Apr-14,421.65224114176,0.04
802,16-Apr-14,417.7861514960896,0.04
803,17-Apr-14,,
804,18-Apr-14,,
805,19-Apr-14,,
806,20-Apr-14,510.0,0.02
807,21-Apr-14,,
808,22-Apr-14,,
809,23-Apr-14,,
810,24-Apr-14,497.5,0.02
811,25-Apr-14,,
812,26-Apr-14,,
813,27-Apr-14,,
814,28-Apr-14,433.0,0.02
815,29-Apr-14,,
816,30-Apr-14,,
817,1-May-14,,
818,2-May-14,,
819,3-May-14,,
820,4-May-14,,
821,5-May-14,,
822,6-May-14,431.5,0.02
823,7-May-14,431.266,0.02
824,8-May-14,431.03668000000005,0.02
825,9-May-14,430.81194640000007,0.02
826,10-May-14,430.59170747200005,0.02
827,11-May-14,,
828,12-May-14,,
829,13-May-14,,
830,14-May-14,,
831,15-May-14,,
832,16-May-14,,
833,17-May-14,,
834,18-May-14,,
835,19-May-14,,
836,20-May-14,480.0,0.02
837,21-May-14,478.876,0.02
838,22-May-14,477.77448,0.02
839,23-May-14,476.6949904,0.02
840,24-May-14,,
841,25-May-14,,
842,26-May-14,,
843,27-May-14,557.7,0.02
844,28-May-14,,
845,29-May-14,,
846,30-May-14,,
847,31-May-14,635.6,0.02
848,1-Jun-14,634.1560000000001,0.02
849,2-Jun-14,632.7408800000001,0.02
850,3-Jun-14,631.3540624000001,0.02
851,4-Jun-14,,
852,5-Jun-14,,
853,6-Jun-14,,
854,7-Jun-14,,
855,8-Jun-14,,
856,9-Jun-14,,
857,10-Jun-14,,
858,11-Jun-14,637.1,0.02
859,12-Jun-14,637.722,0.02
860,13-Jun-14,638.33156,0.02
861,14-Jun-14,638.9289288,0.02
862,15-Jun-14,639.5143502239999,0.02
863,16-Jun-14,640.08806321952,0.02
864,17-Jun-14,640.6503019551296,0.02
865,18-Jun-14,,
866,19-Jun-14,,
867,20-Jun-14,,
868,21-Jun-14,601.6,0.02
869,22-Jun-14,601.388,0.02
870,23-Jun-14,601.18024,0.02
871,24-Jun-14,600.9766352,0.04
872,25-Jun-14,600.3375697920001,0.06
873,26-Jun-14,598.4033156044801,0.06
874,27-Jun-14,596.5851166682113,0.06
875,28-Jun-14,594.8760096681186,0.06
876,29-Jun-14,593.2694490880315,0.06
877,30-Jun-14,591.7592821427496,0.06
878,1-Jul-14,590.3397252141847,0.06
879,2-Jul-14,,
880,3-Jul-14,,
881,4-Jul-14,,
882,5-Jul-14,630.0,0.02
883,6-Jul-14,630.498,0.02
884,7-Jul-14,,
885,8-Jul-14,,
886,9-Jul-14,,
887,10-Jul-14,620.0,0.02
888,11-Jul-14,619.77,0.02
889,12-Jul-14,619.5446,0.02
890,13-Jul-14,,
891,14-Jul-14,,
892,15-Jul-14,,
893,16-Jul-14,614.0,0.02
894,17-Jul-14,614.354,0.02
895,18-Jul-14,614.70092,0.02
896,19-Jul-14,,
897,20-Jul-14,,
898,21-Jul-14,,
899,22-Jul-14,624.0,0.02
900,23-Jul-14,623.62,0.02
901,24-Jul-14,623.2476,0.04
902,25-Jul-14,622.045696,0.04
903,26-Jul-14,620.8918681600001,0.06
904,27-Jul-14,619.0503560704001,0.08
905,28-Jul-14,616.7263275847681,0.1
906,29-Jul-14,612.1536948262913,0.12000000000000001
907,30-Jul-14,606.6392514471363,0.14
908,31-Jul-14,598.7097562445372,0.14
909,1-Aug-14,591.8903903703019,0.16
910,2-Aug-14,513.1879279110536,0.16
911,3-Aug-14,447.07785944528507,0.16
912,4-Aug-14,391.54540193403943,0.16
913,5-Aug-14,344.8981376245931,0.16
914,6-Aug-14,305.7144356046582,0.16
915,7-Aug-14,272.8001259079129,0.16
916,8-Aug-14,245.15210576264684,0.16
917,9-Aug-14,221.92776884062334,0.16
918,10-Aug-14,202.4193258261236,0.16
919,11-Aug-14,186.03223369394382,0.16
920,12-Aug-14,172.2670763029128,0.16
921,13-Aug-14,160.70434409444675,0.16
922,14-Aug-14,150.99164903933527,0.16
923,15-Aug-14,142.83298519304162,0.16
924,16-Aug-14,135.97970756215497,0.16
925,17-Aug-14,130.22295435221017,0.16
926,18-Aug-14,125.38728165585654,0.16
927,19-Aug-14,121.3253165909195,0.16
928,20-Aug-14,117.91326593637238,0.16
929,21-Aug-14,115.0471433865528,0.16
930,22-Aug-14,112.63960044470436,0.16
931,23-Aug-14,110.61726437355166,0.16
932,24-Aug-14,108.9185020737834,0.16
933,25-Aug-14,107.49154174197805,0.16
934,26-Aug-14,106.29289506326157,0.16
935,27-Aug-14,105.28603185313972,0.16
936,28-Aug-14,,
937,29-Aug-14,,
938,30-Aug-14,,
939,31-Aug-14,482.3,0.02
940,1-Sep-14,482.92,0.02
941,2-Sep-14,,
942,3-Sep-14,,
943,4-Sep-14,,
944,5-Sep-14,,
945,6-Sep-14,,
946,7-Sep-14,,
947,8-Sep-14,,
948,9-Sep-14,,
949,10-Sep-14,487.0,0.02
950,11-Sep-14,486.504,0.02
951,12-Sep-14,486.01792,0.02
952,13-Sep-14,485.5415616,0.02
953,14-Sep-14,,
